,Type,Start,End,Duration,Day of Week,Budget,Currency,Clicks,Impressions,Spent,CTR,CPC,CPI,Target Age,Target Gender,Username,Email,Name,Gender,Age
34,GRZ,2018-05-12,2019-07-25,439,Saturday,GRZ_20180512_20190725_20-25_F_EUR,EUR,664561,634368,499998,1.0475954020379339,0.7523733712932297,0.7881828843825666,20-25,F,johnsonmichael,ericmorrison@wilson-miller.com,April Harmon,F,57
35,GRZ,2019-04-19,2020-04-08,355,Friday,GRZ_20190419_20200408_40-45_F_USD,USD,556517,122175,500002,4.555080826683037,0.8984487446025907,4.092506650296706,40-45,F,johnsonmichael,ericmorrison@wilson-miller.com,April Harmon,F,57
36,BYU,2017-07-20,2018-05-17,301,Thursday,BYU_20170720_20180517_40-60_F_EUR,EUR,791083,396252,500000,1.9964138982263813,0.6320449308100414,1.2618232841726982,40-60,F,johnsonmichael,ericmorrison@wilson-miller.com,April Harmon,F,57
37,GRZ,2018-06-10,2019-09-24,471,Sunday,GRZ_20180610_20190924_35-55_B_USD,USD,991135,526743,499998,1.8816291815933006,0.5044701276819,0.9492257134883615,35-55,B,johnsonmichael,ericmorrison@wilson-miller.com,April Harmon,F,57
38,AKX,2018-10-30,2020-10-25,726,Tuesday,AKX_20181030_20201025_40-60_M_USD,USD,977497,414932,499998,2.3558004685105027,0.5115084752178267,1.2050119055652493,40-60,M,nduncan,kellimiller@gmail.com,Kathy Johnson,F,90
39,BYU,2017-07-23,2018-02-26,218,Sunday,BYU_20170723_20180226_35-40_M_USD,USD,457096,91391,499998,5.001542821503212,1.0938577454189053,5.470976354345614,35-40,M,nduncan,kellimiller@gmail.com,Kathy Johnson,F,90
40,AKX,2018-01-03,2019-05-02,484,Wednesday,AKX_20180103_20190502_30-50_F_EUR,EUR,540395,372037,500001,1.4525302590871338,0.9252509738247023,1.3439550367302178,30-50,F,adamsalexis,cassiestrickland@hotmail.com,Dustin Howard,M,41
41,GRZ,2018-09-25,2020-05-03,586,Tuesday,GRZ_20180925_20200503_30-50_M_EUR,EUR,899822,156651,499998,5.74411909276034,0.5556632311723875,3.191795775322213,30-50,M,adamsalexis,cassiestrickland@hotmail.com,Dustin Howard,M,41
42,GRZ,2019-01-14,2019-02-19,36,Monday,GRZ_20190114_20190219_40-50_F_EUR,EUR,733046,245851,500000,2.9816677581136544,0.6820854352932831,2.0337521506928993,40-50,F,adamsalexis,cassiestrickland@hotmail.com,Dustin Howard,M,41
43,GRZ,2018-06-15,2018-09-18,95,Friday,GRZ_20180615_20180918_25-45_B_USD,USD,567783,42463,500002,13.371240844970917,0.8806216459457222,11.775004121234957,25-45,B,adamsalexis,cassiestrickland@hotmail.com,Dustin Howard,M,41
44,BYU,2019-02-22,2020-06-09,473,Friday,BYU_20190222_20200609_25-40_F_USD,USD,225622,199921,499999,1.1285557795329155,2.216091515898272,2.500982888240855,25-40,F,adamsalexis,cassiestrickland@hotmail.com,Dustin Howard,M,41
45,GRZ,2017-07-31,2019-05-26,664,Monday,GRZ_20170731_20190526_30-35_M_EUR,EUR,404790,83706,500000,4.8358540606408145,1.2352083796536475,5.973287458485652,30-35,M,ortizana,laurenberry@hotmail.com,Dr. Samantha Green,F,19
46,AKX,2017-07-02,2017-09-07,67,Sunday,AKX_20170702_20170907_35-40_M_GBP,GBP,813388,342466,499998,2.3750912499343,0.6147103227487989,1.4599931088049616,35-40,M,ortizana,laurenberry@hotmail.com,Dr. Samantha Green,F,19
47,GRZ,2018-11-25,2020-05-17,539,Sunday,GRZ_20181125_20200517_20-40_M_USD,USD,525714,414036,499998,1.2697301683911544,0.9510836690672114,1.2076196272787874,20-40,M,ywilson,johnsonedward@yahoo.com,Victoria Barton,F,45
48,KTR,2017-10-29,2019-10-02,703,Sunday,KTR_20171029_20191002_30-40_F_EUR,EUR,611358,313501,499998,1.9500990427462752,0.8178481348080829,1.5948848648010692,30-40,F,ywilson,johnsonedward@yahoo.com,Victoria Barton,F,45
49,GRZ,2019-02-25,2019-08-06,162,Monday,GRZ_20190225_20190806_35-55_F_GBP,GBP,471520,13684,499998,34.45776088862905,1.0603961655921277,36.53887752119263,35-55,F,ywilson,johnsonedward@yahoo.com,Victoria Barton,F,45
50,KTR,2018-11-14,2019-01-19,66,Wednesday,KTR_20181114_20190119_40-55_B_EUR,EUR,546784,92199,500003,5.930476469376024,0.9144433633756657,5.423084849076454,40-55,B,ywilson,johnsonedward@yahoo.com,Victoria Barton,F,45
51,KTR,2018-02-24,2018-11-24,273,Saturday,KTR_20180224_20181124_30-55_M_EUR,EUR,395083,182293,499999,2.167296604916261,1.2655543265592293,2.742831595288903,30-55,M,christina94,michaelrose@gmail.com,Denise Singh PhD,F,24
52,GRZ,2018-01-14,2018-09-09,238,Sunday,GRZ_20180114_20180909_30-55_M_GBP,GBP,471822,227140,500001,2.0772299022629217,1.0597237941427065,2.201289953332746,30-55,M,christina94,michaelrose@gmail.com,Denise Singh PhD,F,24
53,AKX,2018-11-06,2020-05-09,550,Tuesday,AKX_20181106_20200509_30-45_B_EUR,EUR,6220,4907,500001,1.2675769309150193,80.38601286173633,101.89545547177501,30-45,B,christina94,michaelrose@gmail.com,Denise Singh PhD,F,24
54,GRZ,2017-12-04,2018-02-20,78,Monday,GRZ_20171204_20180220_25-40_B_EUR,EUR,323110,116776,499998,2.766921285195588,1.5474544272848256,4.281684592724533,25-40,B,christina94,michaelrose@gmail.com,Denise Singh PhD,F,24
55,GRZ,2017-10-30,2019-09-08,678,Monday,GRZ_20171030_20190908_25-40_F_USD,USD,470811,365039,499998,1.2897553412101173,1.0619930290498736,1.3697111815449856,25-40,F,christina94,michaelrose@gmail.com,Denise Singh PhD,F,24
56,BYU,2019-04-29,2019-07-19,81,Monday,BYU_20190429_20190719_35-55_F_GBP,GBP,555446,416995,500000,1.3320207676351035,0.9001775150059592,1.1990551445460977,35-55,F,christina94,michaelrose@gmail.com,Denise Singh PhD,F,24
57,AKX,2017-09-26,2018-09-11,350,Tuesday,AKX_20170926_20180911_35-40_B_GBP,GBP,42079,7252,500000,5.802399338113624,11.882411654269351,68.94649751792609,35-40,B,courtneyflynn,xmercer@hotmail.com,Dr. Larry Simmons,M,34
58,GRZ,2019-03-11,2020-02-22,348,Monday,GRZ_20190311_20200222_30-35_M_EUR,EUR,467024,66839,499999,6.987297835096276,1.0706066497653226,7.4806475261449155,30-35,M,courtneyflynn,xmercer@hotmail.com,Dr. Larry Simmons,M,34
59,GRZ,2018-04-15,2018-05-13,28,Sunday,GRZ_20180415_20180513_40-55_B_EUR,EUR,296855,88799,499998,3.3429993581008794,1.6843172592679927,5.630671516571133,40-55,B,courtneyflynn,xmercer@hotmail.com,Dr. Larry Simmons,M,34
60,KTR,2017-10-10,2019-02-06,484,Tuesday,KTR_20171010_20190206_30-40_F_EUR,EUR,186832,152672,499998,1.2237476420037727,2.676190374239959,3.274981660029344,30-40,F,courtneyflynn,xmercer@hotmail.com,Dr. Larry Simmons,M,34
61,GRZ,2019-01-17,2020-12-09,692,Thursday,GRZ_20190117_20201209_25-50_F_USD,USD,981126,694360,499998,1.4129932599804136,0.5096165018560307,0.7200846822973673,25-50,F,courtneyflynn,xmercer@hotmail.com,Dr. Larry Simmons,M,34
62,KTR,2019-03-23,2019-11-08,230,Saturday,KTR_20190323_20191108_20-30_B_USD,USD,405579,132339,499997,3.064697481468048,1.232798049208662,3.77815307656851,20-30,B,courtneyflynn,xmercer@hotmail.com,Dr. Larry Simmons,M,34
63,BYU,2019-03-03,2020-01-30,333,Sunday,BYU_20190303_20200130_20-25_M_EUR,EUR,70069,54165,500000,1.2936213421951446,7.135823259929498,9.231053263177328,20-25,M,julia43,kingjohn@garcia.org,Aaron Paul,M,59
64,GRZ,2018-10-08,2020-05-04,574,Monday,GRZ_20181008_20200504_35-50_B_EUR,EUR,408944,100883,499998,4.053646303143245,1.2226564028326616,4.956216607357037,35-50,B,julia43,kingjohn@garcia.org,Aaron Paul,M,59
65,AKX,2018-10-01,2019-06-03,245,Monday,AKX_20181001_20190603_20-40_M_EUR,EUR,458966,360630,500002,1.2726783684108367,1.0894096730476768,1.3864681252253002,20-40,M,julia43,kingjohn@garcia.org,Aaron Paul,M,59
66,BYU,2018-11-17,2019-09-16,303,Saturday,BYU_20181117_20190916_25-35_B_USD,USD,442477,298049,499998,1.484578039181477,1.1299977173954805,1.677569795570527,25-35,B,julia43,kingjohn@garcia.org,Aaron Paul,M,59
67,KTR,2018-02-24,2020-02-13,719,Saturday,KTR_20180224_20200213_20-35_M_USD,USD,489531,337551,500003,1.4502430743798715,1.0213919036792358,1.4812665345384846,20-35,M,bowmanmichelle,bernardpatterson@foster.org,Brandi Baker,F,79
68,GRZ,2017-06-04,2017-08-22,79,Sunday,GRZ_20170604_20170822_25-45_B_USD,USD,774084,248519,500000,3.114788004136505,0.6459247316828665,2.011918605820883,25-45,B,bowmanmichelle,bernardpatterson@foster.org,Brandi Baker,F,79
69,KTR,2017-06-28,2017-11-09,134,Wednesday,KTR_20170628_20171109_40-50_F_EUR,EUR,724836,514011,500000,1.4101565919795491,0.689811212467372,0.9727418284822699,40-50,F,stephanie56,michaelcarlson@hotmail.com,Morgan Frank,F,35
70,BYU,2019-02-28,2020-01-01,307,Thursday,BYU_20190228_20200101_35-40_M_EUR,EUR,479394,206380,500001,2.3228704331815098,1.0429855192180126,2.4227202248279873,35-40,M,stephanie56,michaelcarlson@hotmail.com,Morgan Frank,F,35
71,KTR,2017-07-18,2017-11-01,106,Tuesday,KTR_20170718_20171101_40-50_F_GBP,GBP,601634,423761,500003,1.4197483959118464,0.8310750389771855,1.1799174534702344,40-50,F,stephaniegibson,kimberly56@yahoo.com,Christine Jones,F,53
72,BYU,2018-03-19,2019-05-19,426,Monday,BYU_20180319_20190519_20-40_M_USD,USD,864003,189668,499997,4.555344074909843,0.5786982221126546,2.6361695172617416,20-40,M,stephaniegibson,kimberly56@yahoo.com,Christine Jones,F,53
73,GRZ,2018-07-11,2018-12-25,167,Wednesday,GRZ_20180711_20181225_40-50_M_EUR,EUR,884478,501975,500003,1.7619961153443897,0.565308577488643,0.9960715175058519,40-50,M,stephaniegibson,kimberly56@yahoo.com,Christine Jones,F,53
74,AKX,2017-10-07,2018-05-06,211,Saturday,AKX_20171007_20180506_20-30_B_GBP,GBP,560547,184210,500000,3.0429781227946364,0.8919858638080304,2.714293469409913,20-30,B,stephaniegibson,kimberly56@yahoo.com,Christine Jones,F,53
75,GRZ,2019-02-24,2020-12-23,668,Sunday,GRZ_20190224_20201223_25-30_M_USD,USD,465538,157602,500002,2.953883833961498,1.0740304765668969,3.1725612619129198,25-30,M,stephaniegibson,kimberly56@yahoo.com,Christine Jones,F,53
76,KTR,2018-10-14,2020-06-08,603,Sunday,KTR_20181014_20200608_40-45_B_EUR,EUR,954829,177091,499999,5.391742098695021,0.5236529263355009,2.823401528027963,40-45,B,stephaniegibson,kimberly56@yahoo.com,Christine Jones,F,53
77,BYU,2017-08-18,2017-08-24,6,Friday,BYU_20170818_20170824_30-35_B_USD,USD,290136,147293,500000,1.9697881094145682,1.7233297488074557,3.394594447801321,30-35,B,stephaniegibson,kimberly56@yahoo.com,Christine Jones,F,53
78,BYU,2018-06-01,2019-09-27,483,Friday,BYU_20180601_20190927_40-50_F_USD,USD,978597,342342,500002,2.858536200641464,0.5109375973970899,1.4605336184283553,40-50,F,stephaniegibson,kimberly56@yahoo.com,Christine Jones,F,53
79,AKX,2018-04-27,2019-04-26,364,Friday,AKX_20180427_20190426_20-40_M_USD,USD,920934,74836,500002,12.306029183815276,0.5429292435722864,6.681303116147308,20-40,M,maria14,cellison@gmail.com,Christian Smith,M,83
80,AKX,2017-08-11,2017-10-01,51,Friday,AKX_20170811_20171001_40-45_B_USD,USD,366730,204915,500001,1.789668887099529,1.3634035939246858,2.4400409926066904,40-45,B,maria14,cellison@gmail.com,Christian Smith,M,83
81,AKX,2018-07-07,2019-06-28,356,Saturday,AKX_20180707_20190628_35-40_B_EUR,EUR,63202,31916,500003,1.9802606842962778,7.9111895193190085,15.666217571124202,35-40,B,maria14,cellison@gmail.com,Christian Smith,M,83
82,AKX,2019-04-28,2021-02-05,649,Sunday,AKX_20190428_20210205_40-60_B_EUR,EUR,106542,28146,500001,3.785333617565551,4.69299431210227,17.76454913664464,40-60,B,justinramirez,riverasteven@hotmail.com,Stacey Garrett,F,73
83,AKX,2018-04-21,2018-06-29,69,Saturday,AKX_20180421_20180629_20-40_M_USD,USD,584074,56542,500000,10.329914046195748,0.8560559107236412,8.842983976513034,20-40,M,justinramirez,riverasteven@hotmail.com,Stacey Garrett,F,73
84,GRZ,2018-01-21,2019-03-07,410,Sunday,GRZ_20180121_20190307_45-65_M_GBP,GBP,57339,46126,500000,1.2430950006503925,8.720068365335985,10.839873390278802,45-65,M,justinramirez,riverasteven@hotmail.com,Stacey Garrett,F,73
85,BYU,2018-12-04,2019-10-07,307,Tuesday,BYU_20181204_20191007_35-50_M_GBP,GBP,194342,88000,499999,2.2084318181818183,2.5727789155200624,5.681806818181818,35-50,M,justinramirez,riverasteven@hotmail.com,Stacey Garrett,F,73
86,KTR,2018-12-19,2018-12-28,9,Wednesday,KTR_20181219_20181228_35-45_F_USD,USD,641136,323927,500001,1.9792607593686231,0.7798672980459684,1.5435607405372198,35-45,F,justinramirez,riverasteven@hotmail.com,Stacey Garrett,F,73
87,AKX,2019-02-15,2021-01-02,687,Friday,AKX_20190215_20210102_35-55_B_GBP,GBP,392528,187776,499997,2.0904055896387184,1.2737868381363877,2.6627311264485343,35-55,B,justinramirez,riverasteven@hotmail.com,Stacey Garrett,F,73
88,AKX,2018-01-10,2018-08-31,233,Wednesday,AKX_20180110_20180831_30-50_B_USD,USD,83034,67582,500000,1.2286407623331657,6.021629693860346,7.398419697552603,30-50,B,fyu,rwilliams@yahoo.com,Travis Campbell,M,58
89,BYU,2018-12-10,2020-08-04,603,Monday,BYU_20181210_20200804_25-30_F_EUR,EUR,243481,113631,500000,2.1427339370418284,2.053548326152759,4.400207689802959,25-30,F,fyu,rwilliams@yahoo.com,Travis Campbell,M,58
90,AKX,2018-03-21,2018-08-06,138,Wednesday,AKX_20180321_20180806_20-30_F_GBP,GBP,305034,104252,500003,2.9259294785711547,1.6391713710602753,4.796099835015156,20-30,F,fyu,rwilliams@yahoo.com,Travis Campbell,M,58
91,BYU,2018-10-25,2019-10-26,366,Thursday,BYU_20181025_20191026_30-45_M_USD,USD,970904,635129,500000,1.5286721280243856,0.5149839736987385,0.7872416469725048,30-45,M,fyu,rwilliams@yahoo.com,Travis Campbell,M,58
92,GRZ,2018-01-03,2019-10-30,665,Wednesday,GRZ_20180103_20191030_20-35_M_EUR,EUR,781287,582125,499998,1.34212926776895,0.6399671311566684,0.858918617135495,20-35,M,fyu,rwilliams@yahoo.com,Travis Campbell,M,58
93,GRZ,2018-05-27,2018-10-20,146,Sunday,GRZ_20180527_20181020_45-60_B_EUR,EUR,948898,258549,500001,3.6700896155080853,0.5269280786765279,1.9338732696703527,45-60,B,fyu,rwilliams@yahoo.com,Travis Campbell,M,58
94,BYU,2018-07-16,2020-06-29,714,Monday,BYU_20180716_20200629_25-30_B_USD,USD,797785,214138,500001,3.7255648226844373,0.6267365267584625,2.334947557182751,25-30,B,fyu,rwilliams@yahoo.com,Travis Campbell,M,58
95,AKX,2017-09-06,2018-11-03,423,Wednesday,AKX_20170906_20181103_40-55_M_EUR,EUR,846161,257347,500002,3.2880157919074247,0.5909064586999401,1.9429097677454954,40-55,M,fyu,rwilliams@yahoo.com,Travis Campbell,M,58
96,BYU,2018-04-06,2018-08-15,131,Friday,BYU_20180406_20180815_40-60_F_USD,USD,928497,897208,499998,1.03487374165188,0.5385025476657437,0.5572821463919181,40-60,F,brittany56,william23@rogers.com,Michael Sullivan,M,69
97,BYU,2019-03-05,2021-02-11,709,Tuesday,BYU_20190305_20210211_25-30_B_EUR,EUR,496897,228328,499997,2.1762420728075402,1.006238717480685,2.1898190322693667,25-30,B,brittany56,william23@rogers.com,Michael Sullivan,M,69
98,KTR,2018-12-25,2019-06-24,181,Tuesday,KTR_20181225_20190624_20-25_B_USD,USD,681274,111705,499996,6.098867552929591,0.7339132272771308,4.476039568506334,20-25,B,brittany56,william23@rogers.com,Michael Sullivan,M,69
99,KTR,2017-11-08,2018-11-08,365,Wednesday,KTR_20171108_20181108_40-55_F_GBP,GBP,923291,686992,500000,1.3439617928593055,0.5415410742658598,0.7278105130772993,40-55,F,brittany56,william23@rogers.com,Michael Sullivan,M,69
100,BYU,2017-07-12,2018-09-24,439,Wednesday,BYU_20170712_20180924_35-55_F_USD,USD,555910,31691,500000,17.54157331734562,0.8994261661060243,15.777350036287904,35-55,F,brittany56,william23@rogers.com,Michael Sullivan,M,69
101,AKX,2019-04-04,2021-02-09,677,Thursday,AKX_20190404_20210209_30-45_B_EUR,EUR,722582,65391,500002,11.050175100549005,0.6919657561356358,7.646342768882568,30-45,B,eharris,michaelbradshaw@walker-blanchard.net,Mark Malone,M,58
102,KTR,2018-08-28,2019-03-03,187,Tuesday,KTR_20180828_20190303_40-55_F_USD,USD,220768,140028,500000,1.5765989659211015,2.264820988549065,3.5707144285428627,40-55,F,eharris,michaelbradshaw@walker-blanchard.net,Mark Malone,M,58
103,BYU,2018-01-28,2018-02-05,8,Sunday,BYU_20180128_20180205_30-55_F_GBP,GBP,109679,20146,499996,5.444207286806314,4.558721359603935,24.81862404447533,30-55,F,eharris,michaelbradshaw@walker-blanchard.net,Mark Malone,M,58
104,BYU,2017-06-30,2018-05-20,324,Friday,BYU_20170630_20180520_20-30_M_USD,USD,449626,39544,499996,11.370271090430913,1.1120264397521495,12.64404207970868,20-30,M,eharris,michaelbradshaw@walker-blanchard.net,Mark Malone,M,58
105,KTR,2017-07-12,2018-04-20,282,Wednesday,KTR_20170712_20180420_20-40_M_GBP,GBP,605276,507504,500003,1.1926526687474384,0.8260743858999862,0.9852198209275198,20-40,M,brenda76,littlechristian@harrison.org,Dorothy Gill,F,42
106,GRZ,2019-03-25,2019-07-01,98,Monday,GRZ_20190325_20190701_40-50_F_GBP,GBP,867517,229894,499998,3.7735521588210217,0.5763552760349365,2.1749066961295207,40-50,F,brenda76,littlechristian@harrison.org,Dorothy Gill,F,42
107,AKX,2018-05-20,2019-08-01,438,Sunday,AKX_20180520_20190801_25-35_F_GBP,GBP,395999,346438,499997,1.1430587868536362,1.262621875307766,1.443251029044158,25-35,F,brenda76,littlechristian@harrison.org,Dorothy Gill,F,42
108,AKX,2019-04-21,2021-01-31,651,Sunday,AKX_20190421_20210131_30-50_F_USD,USD,910239,791910,499998,1.1494222828351706,0.5493040838724774,0.6313823540553851,30-50,F,brenda76,littlechristian@harrison.org,Dorothy Gill,F,42
109,BYU,2019-01-23,2020-12-03,680,Wednesday,BYU_20190123_20201203_25-35_B_USD,USD,785856,490307,499997,1.60278356213556,0.6362450627086896,1.0197631279993964,25-35,B,brenda76,littlechristian@harrison.org,Dorothy Gill,F,42
